"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\PreviewListComponent.jsx", "JavaScript JSX", 0, 329, 0, 0, 0, 20, 34, 383
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\PrivateRoute.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 2, 3, 13
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\ProfileComponent.jsx", "JavaScript JSX", 0, 463, 0, 0, 0, 14, 45, 522
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\PublicRoute.jsx", "JavaScript JSX", 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\RecentActivityComponent.jsx", "JavaScript JSX", 0, 231, 0, 0, 0, 16, 20, 267
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\RecommendedComponent.jsx", "JavaScript JSX", 0, 104, 0, 0, 0, 1, 8, 113
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\ReviewComponent.jsx", "JavaScript JSX", 0, 1053, 0, 0, 0, 81, 97, 1231
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\ReviewUnderGameComponent.jsx", "JavaScript JSX", 0, 918, 0, 0, 0, 63, 83, 1064
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\ScrollableImageComponent.jsx", "JavaScript JSX", 0, 94, 0, 0, 0, 2, 12, 108
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\SearchContainerComponent.jsx", "JavaScript JSX", 0, 171, 0, 0, 0, 0, 11, 182
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\SearchDropdrownComponent.jsx", "JavaScript JSX", 0, 98, 0, 0, 0, 7, 8, 113
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\SelectTagsComponent.jsx", "JavaScript JSX", 0, 53, 0, 0, 0, 9, 5, 67
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\SideNavComponent.jsx", "JavaScript JSX", 0, 445, 0, 0, 0, 17, 19, 481
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\SortReviewsComponent.jsx", "JavaScript JSX", 0, 120, 0, 0, 0, 13, 11, 144
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\Spinner.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\SpinnerComponent.jsx", "JavaScript JSX", 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\StarReviewComponent.jsx", "JavaScript JSX", 0, 214, 0, 0, 0, 19, 34, 267
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\TagComponent.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 4, 31
